City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Bayburt,83,TR,1561621191,60.9,6.8,40.26,40.22,79
Sao Filipe,0,CV,1561621192,74.22,24.23,14.9,-24.5,84
Barrow,100,AR,1561621142,46.32,15.66,-38.31,-60.23,49
Mataura,36,NZ,1561621192,50,4,-46.19,168.86,90
San Quintin,100,PH,1561621192,79.8,8.43,17.54,120.52,86
Srednekolymsk,33,RU,1561621193,69.36,20.98,67.46,153.71,32
Mana,0,NG,1561621193,87.54,14.85,13.03,5.27,55
Port Elizabeth,1,US,1561621193,75.2,6.93,39.31,-74.98,94
Jamestown,1,AU,1561621194,57.84,12.66,-33.21,138.6,60
Arlit,52,NE,1561620900,96.9,10.38,18.74,7.39,23
Ushuaia,90,AR,1561621150,28.4,28.86,-54.81,-68.31,100
Port Lincoln,100,AU,1561621195,63.78,20.49,-34.72,135.86,65
Stryn,75,NO,1561621195,57,2.24,61.9,6.72,81
Rumford,90,US,1561621195,63,2.01,44.55,-70.55,87
Lebu,75,ET,1561621196,66.2,5.82,8.96,38.73,68
Makakilo City,90,US,1561621143,80.01,3.36,21.35,-158.09,100
Buenos Aires,0,AR,1561621138,50,13.87,-34.61,-58.44,61
Deputatskiy,0,RU,1561621197,71.7,12.44,69.3,139.9,21
Saldanha,26,PT,1561621197,74.04,4,41.42,-6.55,53
Bauchi,27,NG,1561621198,87.9,3.2,10.31,9.85,46
Port Alfred,0,ZA,1561621147,61,4,-33.59,26.89,76
Pavlikeni,0,BG,1561621199,77,2.24,43.24,25.31,83
Erzin,40,TR,1561621199,88,6.93,36.95,36.2,62
Kinablangan,100,PH,1561621200,76.2,3.15,7.69,126.55,89
Rikitea,0,PF,1561621145,74.04,13.44,-23.12,-134.97,84
Bluff,68,AU,1561621200,66.12,14.63,-23.58,149.07,67
Severodvinsk,40,RU,1561621201,64.4,8.95,64.56,39.82,48
Busselton,93,AU,1561621201,53.01,27.6,-33.64,115.35,80
Killam,65,CA,1561621201,53.34,4.21,52.79,-111.86,87
Dingle,100,PH,1561621202,78.9,4.79,11,122.67,86
Vaini,75,IN,1561621141,78.8,13.87,15.34,74.49,74
Skjervoy,75,NO,1561621202,46.4,20.8,70.03,20.97,65
Hobart,0,AU,1561620856,51.8,6.93,-42.88,147.33,66
Kushikino,75,JP,1561621203,78.8,5.82,31.72,130.27,88
Valparaiso,90,US,1561621203,70,5.82,41.47,-87.06,55
Port Hardy,40,CA,1561621204,51.8,1.32,50.7,-127.42,93
Jalu,0,LY,1561621204,90.6,10.33,29.03,21.55,40
Chernyshevskiy,67,RU,1561621204,83.76,6.4,63.01,112.47,28
Bredasdorp,34,ZA,1561621142,46.4,3.36,-34.53,20.04,93
Ulladulla,20,AU,1561621205,57.99,4.7,-35.36,150.48,76
Airai,33,TL,1561621205,72.96,3.49,-8.93,125.41,64
Punta Arenas,40,CL,1561621205,30.2,13.87,-53.16,-70.91,63
Muskegon,1,US,1561621206,66,6.93,43.23,-86.25,87
Nikolskoye,75,RU,1561621206,66.99,6.71,59.7,30.79,82
Waipawa,0,NZ,1561621251,37.99,2.08,-39.94,176.59,93
Saskylakh,0,RU,1561621251,62.52,11.3,71.97,114.09,28
Buritizeiro,6,BR,1561621252,61.08,0.31,-17.37,-44.96,71
Chara,20,GR,1561621252,87.01,6.93,39.42,22.43,40
Albany,90,US,1561621143,66.2,4.97,42.65,-73.75,100
Longyearbyen,40,NO,1561621253,39.2,12.75,78.22,15.63,96
Necochea,98,AR,1561621222,48.99,11.99,-38.55,-58.74,55
Pisco,90,PE,1561621253,62.6,2.24,-13.71,-76.2,88
Kishi,97,NG,1561621254,76.2,6.35,9.08,3.85,83
Hithadhoo,47,MV,1561621254,84.66,9.71,-0.6,73.08,72
Portland,90,US,1561620927,62.6,1.36,43.66,-70.25,100
Matagami,66,NG,1561621255,76.56,5.26,9.67,8.4,78
Hokitika,0,NZ,1561621255,44.52,3.96,-42.72,170.96,66
Talnakh,100,RU,1561621255,46.4,17.9,69.49,88.39,61
Chinsali,0,ZM,1561621256,73.5,9.46,-10.55,32.07,41
Kaitangata,98,NZ,1561621256,51.01,7,-46.28,169.85,60
Siverskiy,75,RU,1561621256,59,6.71,59.35,30.08,82
Avarua,0,CK,1561621058,73.4,3.36,-21.21,-159.78,73
Phangnga,40,TH,1561621257,89.6,16.11,8.45,98.53,62
Peace River,20,CA,1561621257,55,5.82,56.23,-117.29,93
Kapaa,90,US,1561621169,78.8,10.29,22.08,-159.32,88
Hermanus,100,ZA,1561621258,57.99,5.01,-34.42,19.24,68
Geraldton,75,CA,1561621258,59,6.93,49.72,-86.95,82
Chuy,7,UY,1561621258,42.9,9.33,-33.69,-53.46,75
Castro,90,CL,1561621259,44.6,8.05,-42.48,-73.76,93
Leningradskiy,100,RU,1561621259,34.26,4.36,69.38,178.42,86
Prata,79,BR,1561620980,65.58,5.17,-19.31,-48.92,75
Tuktoyaktuk,100,CA,1561621151,34.08,7,69.44,-133.03,92
Mar del Plata,100,AR,1561621260,32.82,9.01,-46.43,-67.52,61
Florence,1,US,1561621261,72,2.73,34.2,-79.77,88
Tilichiki,100,RU,1561621262,44.52,7.29,60.47,166.1,97
Sterling,1,US,1561621262,75.99,5.82,39,-77.4,94
Komsomolskiy,29,RU,1561621262,58.38,13,67.55,63.78,49
Rizhao,63,CN,1561621263,84.84,11.1,35.43,119.46,52
Palmas Bellas,100,PA,1561621263,82.99,13.35,9.23,-80.09,90
Kahului,40,US,1561621263,80.6,4.7,20.89,-156.47,57
Cedar City,1,US,1561621264,66.99,9.17,37.68,-113.06,25
Leshukonskoye,100,RU,1561621264,65.58,9.73,64.9,45.76,37
Thompson,40,CA,1561621265,50,4.7,55.74,-97.86,93
Quatre Cocos,40,MU,1561621265,78.8,13.87,-20.21,57.76,74
Spokane,75,US,1561621173,57.2,1.3,47.66,-117.42,82
Atuona,0,PF,1561621266,81.06,17.98,-9.8,-139.03,76
Pokrovsk,0,RU,1561621311,75.66,1.03,61.48,129.14,33
Acajutla,87,SV,1561621311,83.94,7.72,13.59,-89.83,71
New Norfolk,0,AU,1561621312,55,6.93,-42.78,147.06,66
Ilulissat,15,GL,1561621312,39.2,4.7,69.22,-51.1,86
Aklavik,90,CA,1561621312,44.6,3.36,68.22,-135.01,65
Saint Stephen,40,US,1561621313,71.6,4.7,45.7,-94.27,72
Puerto Ayora,26,EC,1561621313,71.88,10.11,-0.74,-90.35,87
Bethel,90,US,1561621314,64.4,5.82,60.79,-161.76,72
Chepareria,0,KE,1561621314,76.02,4,1.32,35.2,57
Sechura,0,PE,1561621314,63.6,8.19,-5.56,-80.82,88
Cidreira,0,BR,1561621315,43.44,2.26,-30.17,-50.22,66
Peniche,20,PT,1561621311,66.99,4.7,39.36,-9.38,82
Wanning,0,AT,1561621315,88,4.7,48.64,13.53,61
Grootfontein,0,NA,1561621316,62.6,8.05,-19.56,18.1,26
Bahia Honda,93,CU,1561621319,81.96,15.21,22.9,-83.16,77
Mitu,0,IR,1561621319,89.52,7.16,36.2,46.09,19
Orlik,75,PL,1561621320,64.4,17.22,53.95,17.74,82
Moanda,100,CD,1561621320,74.22,12.06,-5.93,12.38,75
Tiksi,29,RU,1561621191,60.54,10.69,71.64,128.87,52
Los Llanos de Aridane,20,ES,1561621321,69.8,6.93,28.66,-17.92,60
Tasiilaq,92,GL,1561621321,41,8.05,65.61,-37.64,86
Sitka,22,US,1561621321,73,10,37.17,-99.65,77
Cape Town,100,ZA,1561621083,62.01,2.24,-33.93,18.42,100
Kuching,75,MY,1561621104,93.2,3.36,1.56,110.34,59
Valley City,1,US,1561621322,66.2,3.36,46.92,-98,88
Inuvik,90,CA,1561621322,44.6,3.36,68.36,-133.71,65
Nadym,64,RU,1561621323,56.04,16.87,65.53,72.51,47
Letka,0,BA,1561621323,84.2,3.36,43.74,17.27,45
Thunder Bay,5,CA,1561621278,59,3.36,48.41,-89.26,93
San Patricio,0,PY,1561621324,42.18,4.97,-26.98,-56.83,85
Khatanga,100,RU,1561621324,62.16,5.95,71.98,102.47,26
Jardim,100,BR,1561621324,58.56,4.72,-21.48,-56.15,96
Naze,100,NG,1561621325,73.86,2.82,5.43,7.07,95
Tessalit,0,ML,1561621325,95.46,9.51,20.2,1.01,28
Ban Nahin,100,LA,1561621325,83.4,4.34,18.24,104.21,86
Antofagasta,90,CL,1561621027,55.4,3.36,-23.65,-70.4,76
Salalah,75,OM,1561621326,86,14.99,17.01,54.1,79
Mwene-Ditu,1,CD,1561621326,85.74,6.49,-7.01,23.45,26
Tiarei,20,PF,1561621326,78.01,4.7,-17.53,-149.33,78
Heihe,40,RU,1561621327,64.4,4.47,50.24,127.51,68
Butaritari,0,KI,1561621327,83.76,14.12,3.07,172.79,75
Muros,90,ES,1561621328,64.99,1.12,42.77,-9.06,93
Hami,0,CN,1561621328,85.92,14.23,42.84,93.51,9
Kaifeng,100,CN,1561621328,87.8,4.47,34.8,114.35,48
Kutum,0,SD,1561621329,90.24,4.54,14.2,24.66,23
Lichtenburg,10,ZA,1561621329,58.02,21.61,-26.15,26.16,59
Kodiak,1,US,1561621371,75.99,8.05,39.95,-94.76,83
Hasaki,75,JP,1561621371,80.6,16.11,35.73,140.83,74
Yellowknife,75,CA,1561621372,48.2,17.22,62.45,-114.38,81
Olinda,0,AU,1561621373,59,13.87,-37.84,145.39,62
Onokhoy,75,RU,1561621373,64.4,15.66,51.92,108.05,63
Yabrud,0,SY,1561621373,84.2,11.41,33.97,36.66,39
Santa Vitoria do Palmar,2,BR,1561621374,43.44,7.54,-33.52,-53.37,74
Qaanaaq,0,GL,1561621374,35.52,3.4,77.48,-69.36,59
Anadyr,90,RU,1561621374,48.2,13.42,64.73,177.51,93
Hilo,90,US,1561621225,78.8,8.05,19.71,-155.08,78
Bilma,0,NE,1561621375,100.5,8.79,18.69,12.92,16
Naples,0,IT,1561621375,90,5.82,40.84,14.25,42
Ozinki,60,RU,1561621376,75.12,10.18,51.2,49.73,38
Saint-Georges,77,CA,1561621376,63,6.98,46.12,-70.67,95
Kudahuvadhoo,81,MV,1561621377,83.22,1.77,2.67,72.89,71
Port Blair,98,IN,1561621349,84.12,24.27,11.67,92.75,79
Portobelo,40,PA,1561621377,82.99,3.36,9.55,-79.65,94
Saint George,20,GR,1561621089,87.01,6.93,39.45,22.34,40
Bubaque,100,GW,1561621241,80.52,10.04,11.28,-15.83,80
Kloulklubed,90,PW,1561621378,77,14.99,7.04,134.26,94
Banjar,92,ID,1561621378,77.1,7.23,-7.37,108.54,71
Georgetown,20,GY,1561621148,73.4,4.7,6.8,-58.16,100
Cayenne,90,GF,1561621379,77,3.36,4.94,-52.33,94
Hamilton,75,CA,1561621299,68,3.36,43.26,-79.87,82
Ancud,90,CL,1561621380,44.6,8.05,-41.87,-73.83,93
Fare,0,PF,1561621380,80.34,7.65,-16.7,-151.02,73
Carnarvon,0,ZA,1561621380,52.8,19.17,-30.97,22.13,22
Ringsted,12,DK,1561621380,64,12.75,55.45,11.8,77
Oum Hadjer,63,TD,1561621381,92.94,15.66,13.3,19.7,33
Borskoye,100,RU,1561621381,68.28,6.67,53.03,51.7,50
Victoria,75,BN,1561621300,89.6,6.93,5.28,115.24,66
Severo-Kurilsk,100,RU,1561621382,40.2,11.63,50.68,156.12,95
Calawag,100,PH,1561621382,79.62,3.76,10.67,119.57,91
Awbari,59,LY,1561621383,96.18,9.84,26.59,12.77,16
Provideniya,100,RU,1561621383,46.68,2.64,64.42,-173.23,95
Paita,0,PE,1561621383,64.14,11.59,-5.09,-81.11,90
Taltal,49,CL,1561621384,46.14,0.92,-25.41,-70.49,91
Salamanca,100,MX,1561621384,62.01,4.36,20.57,-101.19,88
Opuwo,0,NA,1561621384,73.86,5.14,-18.06,13.84,24
Kijang,75,KR,1561621385,78.8,8.05,35.24,129.21,83
Guerrero Negro,94,MX,1561621385,63.06,11.65,27.97,-114.04,87
Bangui,75,CF,1561621386,75.2,11.41,4.39,18.55,94
Montepuez,0,MZ,1561621386,81.24,7.45,-13.13,39,37
Carahue,90,CL,1561621386,50,8.05,-38.71,-73.16,100
Clyde River,20,CA,1561621387,32,3.36,70.47,-68.59,63
Dolinsk,40,RU,1561621431,59,6.71,47.32,142.8,72
Saint Anthony,1,US,1561621432,62.6,4.7,43.97,-111.68,45
Scarborough,0,GB,1561621142,61,3.36,54.28,-0.41,87
Narsaq,90,GL,1561621432,46.4,10.29,60.91,-46.05,87
Zhigansk,68,RU,1561621432,80.16,9.95,66.77,123.37,34
Whitecourt,15,CA,1561621433,45.42,3.56,54.14,-115.68,94
Senneterre,1,CA,1561621433,57.2,5.82,48.39,-77.24,93
Ryotsu,90,JP,1561621434,71.6,4.7,38.08,138.43,94
Spasskoye,43,RU,1561621434,61.44,7.92,55.86,45.7,75
Ko Samui,20,TH,1561621198,91.4,11.41,9.54,99.94,59
Port-Cartier,90,CA,1561621435,55,11.41,50.03,-66.88,93
Limbang,75,BN,1561621435,89.6,5.82,4.75,115.01,70
Richards Bay,0,ZA,1561621435,71.34,19.69,-28.77,32.06,65
Kununurra,4,AU,1561621436,84.2,8.05,-15.77,128.74,11
Arraial do Cabo,100,BR,1561621436,73.32,5.46,-22.97,-42.02,82
Torbay,40,CA,1561621300,44.6,4.7,47.66,-52.73,81
Ribeira Grande,75,PT,1561621437,64.4,5.82,38.52,-28.7,63
Hirara,75,JP,1561621437,84.2,17.22,24.8,125.28,88
Udachnyy,40,RU,1561621437,80.6,6.71,66.42,112.4,34
Meulaboh,71,ID,1561621437,85.2,7.43,4.14,96.13,64
Yasothon,75,TH,1561621438,93.2,12.75,15.8,104.15,49
Freeport,0,BS,1561621438,82.86,9.06,26.54,-78.7,75
Jam Sahib,0,PK,1561621438,104,9.17,26.3,68.63,40
Marzuq,61,YE,1561621439,98.88,19.91,14.4,46.47,11
Kavieng,100,PG,1561621148,85.2,13,-2.57,150.8,73
Portalegre,0,PT,1561621439,66.2,5.82,39.29,-7.43,77
Uusikaupunki,75,FI,1561621440,61,8.05,60.8,21.41,77
Hovd,75,NO,1561621440,52,16.11,63.83,10.7,87
Saint-Philippe,90,CA,1561621440,68,4.7,45.36,-73.48,93
San Ramon,95,NI,1561621441,66.48,6.42,12.92,-85.84,94
Miri,27,NG,1561621441,87.9,3.2,10.31,9.75,46
Walvis Bay,90,NA,1561621441,59,10.29,-22.95,14.51,77
Biloxi,20,US,1561621338,80.6,3.91,30.4,-88.89,78
Margate,0,AU,1561621442,55,6.93,-43.03,147.26,66
Ostrovnoy,100,RU,1561621442,60.36,17.16,68.05,39.51,57
Hobyo,37,SO,1561621443,89.7,26.04,5.35,48.53,42
Omboue,100,GA,1561621443,74.94,11.61,-1.57,9.26,76
Teeli,68,RU,1561621443,67.38,4.23,51.01,90.2,33
Dicabisagan,100,PH,1561621444,80.16,3.94,17.08,122.42,87
High Rock,9,BS,1561621444,82.68,8.79,26.63,-78.28,75
Yashalta,2,RU,1561621444,87.18,7.23,46.34,42.27,34
Elizabethtown,1,US,1561621168,73,5.82,40.15,-76.6,83
Tuatapere,100,NZ,1561621445,50,3,-46.13,167.69,90
Gobabis,32,NA,1561621445,59,5.82,-22.45,18.97,30
Port Moresby,40,PG,1561621445,84.2,11.41,-9.47,147.16,79
Mountain Home,90,US,1561621491,71.6,13.87,43.13,-115.69,21
Ashnak,0,AM,1561621492,84.2,2.24,40.33,43.92,37
Dikson,99,RU,1561621145,34.08,11.52,73.51,80.55,97
Marsassoum,0,SN,1561621492,75.2,2.24,12.83,-15.98,94
Pochutla,50,MX,1561621492,79,7.11,15.74,-96.47,88
Cabo San Lucas,0,MX,1561621493,77,4.88,22.89,-109.91,81
Manokwari,100,ID,1561621493,76.02,3.6,-0.87,134.08,87
Athmallik,100,IN,1561621493,98.7,10.71,20.72,84.53,40
Lorengau,10,PG,1561621494,80.34,7.43,-2.02,147.27,84
Ampanihy,80,MG,1561621494,74.04,16.62,-24.69,44.75,63
Lagoa,0,PT,1561621494,69.01,9.17,37.14,-8.45,72
Cabedelo,40,BR,1561621495,71.6,8.05,-6.97,-34.84,100
Ossora,93,RU,1561621495,54.6,2.84,59.24,163.07,65
Hualmay,100,PE,1561621495,62.52,11.43,-11.1,-77.61,86
Lata,48,IN,1561621496,51.36,8.97,30.78,78.62,50
Kavaratti,20,IN,1561621496,89.6,9.17,10.57,72.64,66
Sorland,75,NO,1561621496,48.2,8.05,67.67,12.69,70
Sao Joao da Barra,5,BR,1561621497,67.56,4.32,-21.64,-41.05,78
Sokna,0,NO,1561621497,66,11.41,60.24,9.92,50
Callaway,1,US,1561621497,66.2,8.5,46.98,-95.91,82
Kiunga,94,PG,1561621498,72.6,2.01,-6.12,141.3,99
Katsuura,75,JP,1561621498,77,19.46,33.93,134.5,94
Saint Lawrence,0,MT,1561621498,84.99,8.05,36.06,14.2,48
Xingyi,100,CN,1561621499,74.94,10.96,24.19,102.82,67
Flinders,20,AU,1561621499,59,4.7,-34.58,150.85,76
Yurga,0,RU,1561621499,78.9,8.7,55.71,84.93,54
Payo,57,ID,1561621499,75.84,0.22,-3.75,103.64,91
Alofi,45,NU,1561621500,73.4,10.29,-19.06,-169.92,78
Kanash,75,RU,1561621500,53.6,6.71,55.51,47.5,93
Ulagan,51,RU,1561621500,73.32,2.42,50.63,87.96,25
Kaeo,2,NZ,1561621501,53.01,3,-35.1,173.78,91
Veraval,0,FR,1561621501,73.99,13.87,49.65,0.71,82
Pacific Grove,40,US,1561621224,60.01,5.82,36.62,-121.92,82
Kirakira,100,SB,1561621502,79.98,4.18,-10.46,161.92,82
Celestun,100,MX,1561621502,81.24,14.83,20.87,-90.4,76
Santa Ana,75,US,1561621421,66.2,3.36,33.75,-117.87,77
Anchorage,1,US,1561621503,68,3.36,61.22,-149.89,68
Saryozek,0,KZ,1561621504,88.26,9.06,44.36,77.98,18
Constitucion,0,MX,1561621504,55.68,4.05,23.99,-104.67,59
Hambantota,40,LK,1561621504,89.6,12.75,6.12,81.12,79
Ust-Karsk,100,RU,1561621505,69,4.72,52.71,118.82,56
Ponta do Sol,31,BR,1561621505,61.62,4.27,-20.63,-46,59
Robertsport,100,LR,1561621505,77.28,7.9,6.75,-11.37,89
Sabang,100,PH,1561621506,74.94,4.54,13.8,121.11,97
Teya,5,MX,1561621506,80.01,5.82,21.05,-89.07,78
Cherskiy,36,RU,1561621506,50.28,18.84,68.75,161.3,53
Waingapu,27,ID,1561621507,73.5,13.96,-9.65,120.26,67
Ivanivka,0,UA,1561621551,82.4,11.18,46.98,30.46,45
Mehamn,75,NO,1561621548,44.6,25.28,71.03,27.85,93
